panel	dataset	score
6b	Random negative	0.000845
6b	Random negative	0.001126
6b	Random negative	0.000435
6b	Random negative	0.000117
6b	Random negative	0.999676
6b	Random negative	8.3e-05
6b	Random negative	0.000125
6b	Random negative	0.000126
6b	Random negative	0.001519
6b	Random negative	0.01429
6b	Random negative	0.000207
6b	Random negative	0.001471
6b	Random negative	0.999909
6b	Random negative	7.8e-05
6b	Random negative	0.0002
6b	Random negative	0.99995
6b	Random negative	0.0002
6b	Random negative	7.8e-05
6b	Random negative	0.00219
6b	Random negative	0.999913
6b	Random negative	7.5e-05
6b	Random negative	0.002497
6b	Random negative	0.317752
6b	Random negative	0.999886
6b	Random negative	0.998491
6b	Random negative	0.760047
6b	Random negative	0.999932
6b	Random negative	0.477008
6b	Random negative	0.000288
6b	Random negative	0.999913
6b	Random negative	0.999762
6b	Random negative	0.997109
6b	Random negative	0.030575
6b	Random negative	0.033875
6b	Random negative	9.9e-05
6b	Random negative	0.015336
6b	Random negative	0.999645
6b	Random negative	4.9e-05
6b	Random negative	0.040085
6b	Random negative	0.012539
6b	Random negative	0.998144
6b	Random negative	0.000169
6b	Random negative	0.002156
6b	Random negative	6.5e-05
6b	Random negative	0.99549
6b	Random negative	0.00231
6b	Random negative	0.42403
6b	Random negative	0.000177
6b	Random negative	0.998503
6b	Random negative	0.000191
6b	Random negative	0.004487
6b	Random negative	0.171973
6b	Random negative	0.784751
6b	Random negative	0.036929
6b	Random negative	0.99993
6b	Random negative	0.999902
6b	Random negative	0.999843
6b	Random negative	0.025109
6b	Random negative	0.99981
6b	Random negative	0.999717
6b	Random negative	0.000151
6b	Random negative	0.000774
6b	Random negative	0.000503
6b	Random negative	0.999433
6b	Random negative	0.000111
6b	Random negative	6.5e-05
6b	Random negative	8.2e-05
6b	Random negative	9.3e-05
6b	Random negative	0.000281
6b	Random negative	6.2e-05
6b	Random negative	0.000645
6b	Random negative	0.999708
6b	Random negative	0.001656
6b	Random negative	6.5e-05
6b	Random negative	0.000311
6b	Random negative	0.459378
6b	Random negative	0.000128
6b	Random negative	0.007389
6b	Random negative	0.000767
6b	Random negative	0.967875
6b	Random negative	5.5e-05
6b	Random negative	0.000109
6b	Random negative	0.001132
6b	Random negative	0.016641
6b	Random negative	8.5e-05
6b	Random negative	7.2e-05
6b	Random negative	0.998925
6b	Random negative	0.999936
6b	Random negative	0.000115
6b	Random negative	7e-05
6b	Random negative	0.000579
6b	Random negative	0.91094
6b	Random negative	6e-05
6b	Random negative	0.000695
6b	Random negative	9.3e-05
6b	Random negative	0.997895
6b	Random negative	0.97972
6b	Random negative	0.942509
6b	Random negative	0.000396
6b	Random negative	7.8e-05
6b	Random negative	0.006156
6b	Random negative	0.000111
6b	Random negative	0.998174
6b	Random negative	0.018787
6b	Random negative	0.022445
6b	Random negative	0.999873
6b	Random negative	0.999939
6b	Random negative	0.000256
6b	Random negative	6.9e-05
6b	Random negative	0.00172
6b	Random negative	0.000797
6b	Random negative	5.5e-05
6b	Random negative	0.988807
6b	Random negative	0.999894
6b	Random negative	8.1e-05
6b	Random negative	0.99968
6b	Random negative	0.000416
6b	Random negative	0.999035
6b	Random negative	0.00376
6b	Random negative	5.5e-05
6b	Random negative	0.996558
6b	Random negative	0.027843
6b	Random negative	0.990514
6b	Random negative	0.056879
6b	Random negative	0.995216
6b	Random negative	0.99981
6b	Random negative	0.684871
6b	Random negative	0.000516
6b	Random negative	0.737944
6b	Random negative	0.999918
6b	Random negative	9.2e-05
6b	Random negative	0.015106
6b	Random negative	9.3e-05
6b	Random negative	0.000195
6b	Random negative	0.998734
6b	Random negative	6.8e-05
6b	Random negative	0.000171
6b	Random negative	6.8e-05
6b	Random negative	0.000215
6b	Random negative	0.000236
6b	Random negative	0.108384
6b	Random negative	0.000149
6b	Random negative	0.000676
6b	Random negative	0.000136
6b	Random negative	0.999919
6b	Random negative	0.999865
6b	Random negative	0.996699
6b	Random negative	0.011382
6b	Random negative	6.7e-05
6b	Random negative	0.000209
6b	Random negative	0.974036
6b	Random negative	0.897083
6b	Random negative	9.9e-05
6b	Random negative	0.000168
6b	Random negative	0.997222
6b	Random negative	0.005749
6b	Random negative	6.7e-05
6b	Random negative	0.000102
6b	Random negative	0.00042
6b	Random negative	0.000146
6b	Random negative	9.2e-05
6b	Random negative	6e-05
6b	Random negative	0.148192
6b	Random negative	0.999601
6b	Random negative	0.999902
6b	Random negative	0.999643
6b	Random negative	0.000267
6b	Random negative	0.999924
6b	Random negative	0.00298
6b	Random negative	0.000138
6b	Random negative	6.9e-05
6b	Random negative	0.012196
6b	Random negative	0.00482
6b	Random negative	6.3e-05
6b	Random negative	0.984863
6b	Random negative	6.1e-05
6b	Random negative	0.999595
6b	Random negative	5.7e-05
6b	Random negative	0.999936
6b	Random negative	0.998175
6b	Random negative	8.4e-05
6b	Random negative	0.000131
6b	Random negative	0.433023
6b	Random negative	0.554528
6b	Random negative	0.998729
6b	Random negative	0.99938
6b	Random negative	7e-05
6b	Random negative	0.000383
6b	Random negative	0.89097
6b	Random negative	0.000212
6b	Random negative	0.011134
6b	Random negative	0.001199
6b	Random negative	9.2e-05
6b	Random negative	0.000188
6b	Random negative	0.999879
6b	Random negative	8.5e-05
6b	Random negative	0.000279
6b	Random negative	0.006581
6b	Random negative	0.995908
6b	Random negative	0.043471
6b	Random negative	7.1e-05
6b	Random negative	8.2e-05
6b	Random negative	0.168723
6b	Random negative	0.999569
6b	Random negative	0.969772
6b	Random negative	6.8e-05
6b	Random negative	0.984647
6b	Random negative	7.6e-05
6b	Random negative	0.032888
6b	Random negative	0.999209
6b	Random negative	0.999918
6b	Random negative	0.000356
6b	Random negative	0.000299
6b	Random negative	0.002677
6b	Random negative	7.1e-05
6b	Random negative	0.998616
6b	Random negative	0.999164
6b	Random negative	8.2e-05
6b	Random negative	0.007348
6b	Random negative	0.000214
6b	Random negative	0.999626
6b	Random negative	5.3e-05
6b	Random negative	0.551568
6b	Random negative	8.2e-05
6b	Random negative	0.00016
6b	Random negative	0.004452
6b	Random negative	0.9999
6b	Random negative	0.572008
6b	Random negative	0.01203
6b	Random negative	0.00089
6b	Random negative	0.895531
6b	Random negative	0.000168
6b	Random negative	6.9e-05
6b	Random negative	7e-05
6b	Random negative	0.92939
6b	Random negative	0.997401
6b	Random negative	0.001721
6b	Random negative	0.018977
6b	Random negative	0.000101
6b	Random negative	8.6e-05
6b	Random negative	0.000812
6b	Random negative	0.025083
6b	Random negative	0.999632
6b	Random negative	8.5e-05
6b	Random negative	6.5e-05
6b	Random negative	0.000143
6b	Random negative	0.000116
6b	Random negative	0.000215
6b	Random negative	0.874366
6b	Random negative	0.007097
6b	Random negative	7e-05
6b	Random negative	0.781877
6b	Random negative	0.99991
6b	Random negative	0.000165
6b	Random negative	9.9e-05
6b	Random negative	0.998962
6b	Random negative	0.013228
6b	Random negative	9.1e-05
6b	Random negative	0.726393
6b	Random negative	0.002646
6b	Random negative	0.001133
6b	Random negative	0.02013
6b	Random negative	0.000461
6b	Random negative	0.997361
6b	Random negative	0.000214
6b	Random negative	0.006804
6b	Random negative	0.999801
6b	Random negative	0.999941
6b	Random negative	0.0026
6b	Random negative	0.000724
6b	Random negative	0.999856
6b	Random negative	0.050498
6b	Random negative	0.449636
6b	Random negative	0.956115
6b	Random negative	0.000156
6b	Random negative	0.069048
6b	Random negative	0.000621
6b	Random negative	0.99896
6b	Random negative	0.000165
6b	Random negative	0.011773
6b	Random negative	0.000237
6b	Random negative	0.999937
6b	Random negative	0.999327
6b	Random negative	0.000103
6b	Random negative	0.999122
6b	Random negative	8.2e-05
6b	Random negative	0.000157
6b	Random negative	8.7e-05
6b	Random negative	0.000148
6b	Random negative	0.000108
6b	Random negative	0.000481
6b	Random negative	0.026031
6b	Random negative	0.999948
6b	Random negative	0.000103
6b	Random negative	0.000295
6b	Random negative	0.002233
6b	Random negative	0.001121
6b	Random negative	6.7e-05
6b	Random negative	0.001993
6b	Random negative	0.001955
6b	Random negative	0.001521
6b	Random negative	0.470514
6b	Random negative	0.999909
6b	Random negative	0.999829
6b	Random negative	0.253946
6b	Random negative	0.998455
6b	Random negative	6.8e-05
6b	Random negative	0.992324
6b	Random negative	0.000237
6b	Random negative	0.999936
6b	Random negative	0.999532
6b	Random negative	8.2e-05
6b	Random negative	0.999195
6b	Random negative	0.919951
6b	Random negative	0.000108
6b	Random negative	0.000171
6b	Random negative	9.2e-05
6b	Random negative	0.001378
6b	Random negative	6.9e-05
6b	Random negative	0.000188
6b	Random negative	0.001162
6b	Random negative	0.989093
6b	Random negative	5.6e-05
6b	Random negative	0.725427
6b	Random negative	6.8e-05
6b	Random negative	0.001087
6b	Random negative	0.999924
6b	Random negative	0.055988
6b	Random negative	0.999945
6b	Random negative	0.997788
6b	Random negative	0.000512
6b	Random negative	0.000845
6b	Random negative	5.9e-05
6b	Random negative	0.003074
6b	Random negative	0.99992
6b	Random negative	0.002673
6b	Random negative	0.233072
6b	Random negative	0.99978
6b	Random negative	0.001335
6b	Random negative	0.997259
6b	Random negative	6.4e-05
6b	Random negative	0.999938
6b	Random negative	0.999413
6b	Random negative	0.0004
6b	Random negative	0.500116
6b	Random negative	0.00143
6b	Random negative	0.897937
6b	Random negative	0.856301
6b	Random negative	0.000814
6b	Random negative	0.006189
6b	Random negative	0.000135
6b	Random negative	0.000113
6b	Random negative	0.993441
6b	Random negative	5.6e-05
6b	Random negative	0.000235
6b	Random negative	0.000458
6b	Random negative	8.8e-05
6b	Random negative	0.000417
6b	Random negative	0.001851
6b	Random negative	0.999912
6b	Random negative	0.148221
6b	Random negative	0.008379
6b	Random negative	0.000823
6b	Random negative	0.000624
6b	Random negative	0.000113
6b	Random negative	0.000114
6b	Random negative	0.002591
6b	Random negative	0.054079
6b	Random negative	0.999843
6b	Random negative	0.000172
6b	Random negative	0.0011
6b	Random negative	0.920366
6b	Random negative	6.6e-05
6b	Random negative	0.989652
6b	Random negative	9.4e-05
6b	Random negative	5.8e-05
6b	Random negative	0.999556
6b	Random negative	0.050738
6b	Random negative	0.000192
6b	Random negative	0.010892
6b	Random negative	0.999888
6b	Random negative	0.260298
6b	Random negative	0.000116
6b	Random negative	6.4e-05
6b	Random negative	0.00014
6b	Random negative	0.96072
6b	Random negative	0.000168
6b	Random negative	0.680919
6b	Random negative	0.049174
6b	Random negative	6.2e-05
6b	Random negative	0.997319
6b	Random negative	0.081569
6b	Random negative	0.990304
6b	Random negative	9.2e-05
6b	Random negative	0.99982
6b	Random negative	5.4e-05
6b	Random negative	0.000146
6b	Random negative	8e-05
6b	Random negative	0.023339
6b	Random negative	0.000308
6b	Random negative	0.999919
6b	Random negative	0.999924
6b	Random negative	0.000109
6b	Random negative	6.2e-05
6b	Random negative	0.000297
6b	Random negative	0.031646
6b	Random negative	0.732914
6b	Random negative	0.994505
6b	Random negative	0.003601
6b	Random negative	0.999723
6b	Random negative	0.000433
6b	Random negative	0.255735
6b	Random negative	0.999006
6b	Random negative	0.99985
6b	Random negative	0.000384
6b	Random negative	0.99992
6b	Random negative	0.00299
6b	Random negative	0.000457
6b	Random negative	5.1e-05
6b	Random negative	0.000435
6b	Random negative	5.3e-05
6b	Random negative	0.000262
6b	Random negative	0.003245
6b	Random negative	9e-05
6b	Random negative	0.000285
6b	Random negative	0.004572
6b	Random negative	0.00055
6b	Random negative	0.047172
6b	Random negative	0.755536
6b	Random negative	6.4e-05
6b	Random negative	0.000126
6b	Random negative	7.3e-05
6b	Random negative	0.061029
6b	Random negative	0.836544
6b	Random negative	0.35098
6b	Random negative	0.000102
6b	Random negative	0.004729
6b	Random negative	8.2e-05
6b	Random negative	0.000467
6b	Random negative	0.994699
6b	Random negative	0.4878
6b	Random negative	0.055426
6b	Random negative	0.997171
6b	Random negative	0.001249
6b	Random negative	7.7e-05
6b	Random negative	0.014801
6b	Random negative	0.333072
6b	Random negative	0.000345
6b	Random negative	0.583272
6b	Random negative	0.852995
6b	Random negative	0.624972
6b	Random negative	5e-05
6b	Random negative	0.003139
6b	Random negative	0.000193
6b	Random negative	0.999934
6b	Random negative	0.000123
6b	Random negative	0.998898
6b	Random negative	0.013804
6b	Random negative	0.000354
6b	Random negative	7.8e-05
6b	Random negative	0.012987
6b	Random negative	0.008162
6b	Random negative	0.000605
6b	Random negative	0.000378
6b	Random negative	6.7e-05
6b	Random negative	0.998263
6b	Random negative	0.003751
6b	Random negative	5.6e-05
6b	Random negative	0.027891
6b	Random negative	9.9e-05
6b	Random negative	0.000123
6b	Random negative	0.999898
6b	Random negative	7.2e-05
6b	Random negative	0.932223
6b	Random negative	5.5e-05
6b	Random negative	0.001334
6b	Random negative	0.005153
6b	Random negative	0.000184
6b	Random negative	7.5e-05
6b	Random negative	0.001068
6b	Random negative	0.999079
6b	Random negative	0.975433
6b	Random negative	0.999148
6b	Random negative	0.011185
6b	Random negative	0.999939
6b	Random negative	0.000115
6b	Random negative	0.000125
6b	Random negative	0.999785
6b	Random negative	9.8e-05
6b	Random negative	0.998133
6b	Random negative	0.809772
6b	Random negative	0.999769
6b	Random negative	0.99991
6b	Random negative	7.5e-05
6b	Random negative	0.999556
6b	Random negative	0.984558
6b	Random negative	0.999567
6b	Random negative	0.997043
6b	Random negative	0.002406
6b	Random negative	0.001962
6b	Random negative	0.00013
6b	Random negative	7.5e-05
6b	Random negative	0.000426
6b	Random negative	0.000119
6b	Random negative	6.9e-05
6b	Random negative	0.012869
6b	Random negative	0.004749
6b	Random negative	0.027126
6b	Random negative	8.5e-05
6b	Random negative	8.7e-05
6b	Random negative	0.000107
6b	Random negative	0.819584
6b	Random negative	7.3e-05
6b	Random negative	0.000403
6b	Random negative	0.997383
6b	Random negative	0.999938
6b	Random negative	0.000189
6b	Random negative	0.999763
6b	Random negative	0.014209
6b	Random negative	0.989634
6b	Random negative	0.99796
6b	Random negative	0.999856
6b	Random negative	0.000134
6b	Random negative	0.00011
6b	Random negative	0.00014
6b	Random negative	0.999457
6b	Random negative	0.999568
6b	Random negative	0.999933
6b	Random negative	0.034299
6b	Random negative	0.002992
6b	Random negative	7.6e-05
6b	Random negative	0.987587
6b	Random negative	0.000829
6b	Random negative	5.7e-05
6b	Random negative	7.3e-05
6b	Random negative	0.000164
6b	Random negative	0.001096
6b	Random negative	0.000285
6b	Random negative	0.083859
6b	Random negative	0.999688
6b	Random negative	0.000934
6b	Random negative	0.000451
6b	Random negative	6e-05
6b	Random negative	8.8e-05
6b	Random negative	7.1e-05
6b	Random negative	0.002412
6b	Random negative	0.00016
6b	Random negative	0.999932
6b	Random negative	0.999942
6b	Random negative	0.002079
6b	Random negative	0.918472
6b	Random negative	6.1e-05
6b	Random negative	0.000744
6b	Random negative	0.999954
6b	Random negative	0.99993
6b	Random negative	5e-05
6b	Random negative	0.999927
6b	Random negative	0.000123
6b	Random negative	0.999298
6b	Random negative	0.999878
6b	Random negative	0.999805
6b	Random negative	7.1e-05
6b	Random negative	0.999911
6b	Random negative	0.004806
6b	Random negative	0.003382
6b	Random negative	6.7e-05
6b	Random negative	0.999605
6b	Random negative	0.999923
6b	Random negative	0.987929
6b	Random negative	0.000136
6b	Random negative	0.000325
6b	Random negative	0.016821
6b	Random negative	0.999892
6b	Random negative	5.4e-05
6b	Random negative	0.001425
6b	Random negative	0.058066
